Title,roomicons,Title1,singleroomtext,Title2,furareea,furareea6,furareea7
"9,000,000",,3 BEDROOM BLOCKS OF FLATS HOUSE FOR RENT, Bourdillon Ikoyi Lagos,"2 Blocks of 16 (Nos) Three, Bedroom Flat with a Room Boys Quarter Each at Off Bourdillion Road, Ikoyi, Lagos. Features: Large Compound, All Room Ensuit,Swimming Pool, Lifts, Water Treatment Plant, Spacious Living Room, Laundry Room, Security House. ",3 beds,3 baths,3 Toilets
"26,000,000",33,4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT,"Vita Towers, Anifowose Street, Victoria Island Lagos",Luxury 4 Bedroom Penthouse,4 beds,4 baths,5 Toilets
"15,000,000",12,10 BEDROOM BOYS QUARTERS FLAT / APARTMENT FOR RENT, Opebi Ikeja Lagos,"A Block Of 6(Nos) Three Bedroom Flat With A Room Boysquarter Each In Awuse Estate, Opebi",10 beds,10 baths,10 Toilets
"79,000,000",12,BLOCKS OF FLATS HOUSE FOR RENT,"off Bourdillon, Old Ikoyi Ikoyi Lagos","Newly Renovated Block Of 10 Serviced Flats With 10 Rooms Bq(4 Nos Of 2 Bedroom Flats, 4 Nos Of 3 Bedroom Flats & 2 Nos Of Maisonnettes)", beds, baths, Toilets
"40,000,000",11,5 BEDROOM COMMERCIAL PROPERTY FOR RENT, Ademola Adetokunbo Victoria Island Lagos,"Commercial Property Formerly Used As A Lounge In Victoria Island, Lagos For Rent",5 beds,6 baths,6 Toilets
"13,000,000",3,RESIDENTIAL LAND LAND FOR RENT,Egbeda close to bus stop Egbeda Alimosho Lagos,Standard Full Plot Of Land In A Good Environment,0 beds,0 baths,0 Toilets
"10,000,000",4,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,... Ikeja Gra Ikeja Lagos,Exquisitely Finished 4 Bedroom Terrace Duplex,4 beds,5 baths,5 Toilets
"1,500,000",12,1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT,Ikeja Ikeja Gra Ikeja Lagos,A Well Maintained Spacious Mini Flat + Swimming Pool,1 beds,2 baths,2 Toilets
"4,500,000",12,4 BEDROOM HOUSE FOR RENT,... Ikeja Gra Ikeja Lagos,4 Bedroom Terrace House,4 beds,5 baths,5 Toilets
"8,000,000",5,3 BEDROOM FLAT / APARTMENT FOR RENT, Mosley Road Ikoyi Lagos,Tastefully Finished 3bedroom Flat At Mosley Road Ikoyi For Rent,3 beds,4 baths,4 Toilets
